id,en
TXT_ASTRONOMICAL_UNITS,Astronomical Units
TXT_ATMOSPHERES,Atmospheres
TXT_BILLION,Billion
TXT_CANDELAS,Candelas
TXT_CANDELAS_PER_SQUARE_METER,Candelas Per Square Meter
TXT_CENTIMETERS,Centimeters
TXT_CENTURIES,Centuries
TXT_COULOMBS,Coulombs
TXT_CUBIC_KILOMETERS,Cubic Kilometers
TXT_CUBIC_METERS,Cubic Meters
TXT_DAYS,Days
TXT_DECILLION,Decillion
TXT_DEG,°
TXT_DEG_C,°C
TXT_DEG_F,°F
TXT_DEG_PER_CENTURY,°/century
TXT_DEG_PER_DAY,°/d
TXT_DEG_PER_YEAR,°/y
TXT_DEGREES,Degrees
TXT_DEGREES_CELSIUS,Degrees Celsius
TXT_DEGREES_FAHRENHEIT,Degrees Fahrenheit
TXT_DEGREES_PER_CENTURY,Per Century
TXT_DEGREES_PER_DAY,Degrees Per Day
TXT_DEGREES_PER_YEAR,Degrees Per Year
TXT_ELECTRONVOLTS,Electronvolts
TXT_EAST,East
TXT_EAST_SHORT,E
TXT_GRAMS,Grams
TXT_GRAMS_PER_CUBIC_CENTIMETER,Grams Per Cubic Centimeter
TXT_HECTARES,Hectares
TXT_HERTZ,Hertz
TXT_HOURS,Hours
TXT_JOULES,Joules
TXT_KELVIN,Kelvin
TXT_KILOGRAMS,Kilograms
TXT_KILOGRAMS_PER_DAY,Kilograms Per Day
TXT_KILOMETERS,Kilometers
TXT_KILOMETERS_PER_HOUR,Kilometers Per Hour
TXT_KILOMETERS_PER_SECOND,Kilometers Per Second
TXT_KILOWATT_HOURS,Kilowatt Hours
TXT_KILOWATTS,Kilowatts
TXT_LATITUDE,Latitude
TXT_LATITUDE_SHORT,Lat
TXT_LIGHT_YEARS,Light-Years
TXT_LITER,Liter
TXT_LONGITUDE,Longitude
TXT_LONGITUDE_SHORT,Lon
TXT_LUMENS,Lumens
TXT_MEGAPARSECS,Megaparsecs
TXT_MEGAWATT_HOURS,Megawatt Hours
TXT_MEGAWATTS,Megawatts
TXT_METERS,Meters
TXT_METERS_PER_SECOND,Meters Per Second
TXT_METERS_PER_SECOND_SQUARED,Meters Per Second Squared
TXT_MILIMETERS,Milimeters
TXT_MILLION,Million
TXT_MINUTES,Minutes
TXT_NEWTONS,Newtons
TXT_NONILLION,Nonillion
TXT_NORTH,North
TXT_NORTH_SHORT,N
TXT_OCTILLION,Octillion
TXT_PARSECS,Parsecs
TXT_PASCALS,Pascals
TXT_PER_CUBIC_METER,Per Cubic Meter
TXT_PER_DAY,Per Day
TXT_PER_YEAR,Per Year
TXT_PITCH,Pitch
TXT_QUADRILLION,Quadrillion
TXT_QUINTILLION,Quintillion
TXT_RADIANS,Radians
TXT_ROLL,Roll
TXT_SECONDS,Seconds
TXT_SEPTILLION,Septillion
TXT_SEXTILLION,Sextillion
TXT_SOUTH,South
TXT_SOUTH_SHORT,S
TXT_SPEED_OF_LIGHT,Speed of Light
TXT_SQUARE_KILOMETERS,Square Kilometers
TXT_SQUARE_METERS,Square Meters
TXT_STANDARD_GRAVITIES,Standard Gravities
TXT_TESLAS,Teslas
TXT_THOUSAND,Thousand
TXT_TONNES,Tonnes
TXT_TONNES_PER_DAY,Tonnes Per Day
TXT_TRILLION,Trillion
TXT_VOLTS,Volts
TXT_WATT_HOURS,Watt Hours
TXT_WATTS,Watts
TXT_WEBERS,Webers
TXT_WEST,West
TXT_WEST_SHORT,W
TXT_YAW,Yaw
TXT_YEARS,Years
